len(selected_patterns):83; curr precision: 0.9494; curr recall: 0.0372; curr f1: 0.0715; curr tp: 5728; curr fp: 305; curr fn: 148437; curr tn: 1353054; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _ATOKEN_bruschetta; pattern type: l0
len(selected_patterns):84; curr precision: 0.9491; curr recall: 0.0374; curr f1: 0.0719; curr tp: 5764; curr fp: 309; curr fn: 148401; curr tn: 1353050; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _ATOKEN_ricotta; pattern type: l0
len(selected_patterns):85; curr precision: 0.9493; curr recall: 0.0376; curr f1: 0.0724; curr tp: 5800; curr fp: 310; curr fn: 148365; curr tn: 1353049; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _ATOKEN_artichoke; pattern type: l0
len(selected_patterns):86; curr precision: 0.9494; curr recall: 0.0378; curr f1: 0.0728; curr tp: 5835; curr fp: 311; curr fn: 148330; curr tn: 1353048; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _ATOKEN_tenderloin; pattern type: l0
len(selected_patterns):87; curr precision: 0.948; curr recall: 0.0381; curr f1: 0.0732; curr tp: 5870; curr fp: 322; curr fn: 148295; curr tn: 1353037; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _ATOKEN_dosa; pattern type: l0
len(selected_patterns):88; curr precision: 0.9481; curr recall: 0.0383; curr f1: 0.0736; curr tp: 5905; curr fp: 323; curr fn: 148260; curr tn: 1353036; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _ATOKEN_carne; pattern type: l0
len(selected_patterns):89; curr precision: 0.9483; curr recall: 0.0385; curr f1: 0.0741; curr tp: 5940; curr fp: 324; curr fn: 148225; curr tn: 1353035; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _ATOKEN_migas; pattern type: l0
len(selected_patterns):90; curr precision: 0.9486; curr recall: 0.0388; curr f1: 0.0745; curr tp: 5974; curr fp: 324; curr fn: 148191; curr tn: 1353035; precision of pattern: 1.0; tp, abs. recall of pattern: 34; pattern: _ATOKEN_asada; pattern type: l0
len(selected_patterns):91; curr precision: 0.9487; curr recall: 0.039; curr f1: 0.0749; curr tp: 6007; curr fp: 325; curr fn: 148158; curr tn: 1353034; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _ATOKEN_panini; pattern type: l0
len(selected_patterns):92; curr precision: 0.9486; curr recall: 0.0392; curr f1: 0.0752; curr tp: 6040; curr fp: 327; curr fn: 148125; curr tn: 1353032; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _ATOKEN_prosciutto; pattern type: l0
