len(selected_patterns):72; curr precision: 0.9639; curr recall: 0.0374; curr f1: 0.0721; curr tp: 5826; curr fp: 218; curr fn: 149808; curr tn: 1516477; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _ATOKEN_dual-core; pattern type: l0
len(selected_patterns):73; curr precision: 0.9638; curr recall: 0.0376; curr f1: 0.0724; curr tp: 5851; curr fp: 220; curr fn: 149783; curr tn: 1516475; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _ATOKEN_expansion; pattern type: l0
len(selected_patterns):74; curr precision: 0.9636; curr recall: 0.0377; curr f1: 0.0727; curr tp: 5875; curr fp: 222; curr fn: 149759; curr tn: 1516473; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _ATOKEN_bass; pattern type: l0
len(selected_patterns):75; curr precision: 0.9637; curr recall: 0.0379; curr f1: 0.0729; curr tp: 5899; curr fp: 222; curr fn: 149735; curr tn: 1516473; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _ATOKEN_hard-drive; pattern type: l0
len(selected_patterns):76; curr precision: 0.9639; curr recall: 0.0381; curr f1: 0.0732; curr tp: 5923; curr fp: 222; curr fn: 149711; curr tn: 1516473; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _ATOKEN_lightscribe; pattern type: l0
len(selected_patterns):77; curr precision: 0.9637; curr recall: 0.0382; curr f1: 0.0735; curr tp: 5946; curr fp: 224; curr fn: 149688; curr tn: 1516471; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: _ATOKEN_winxp; pattern type: l0
len(selected_patterns):78; curr precision: 0.9638; curr recall: 0.0384; curr f1: 0.0738; curr tp: 5969; curr fp: 224; curr fn: 149665; curr tn: 1516471; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: _ATOKEN_dreamweaver; pattern type: l0
len(selected_patterns):79; curr precision: 0.9633; curr recall: 0.0385; curr f1: 0.074; curr tp: 5991; curr fp: 228; curr fn: 149643; curr tn: 1516467; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_mechanism; pattern type: l0
len(selected_patterns):80; curr precision: 0.9632; curr recall: 0.0386; curr f1: 0.0743; curr tp: 6013; curr fp: 230; curr fn: 149621; curr tn: 1516465; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_headset; pattern type: l0
len(selected_patterns):81; curr precision: 0.9633; curr recall: 0.0388; curr f1: 0.0746; curr tp: 6035; curr fp: 230; curr fn: 149599; curr tn: 1516465; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_touch-pad; pattern type: l0
len(selected_patterns):82; curr precision: 0.9633; curr recall: 0.0389; curr f1: 0.0748; curr tp: 6057; curr fp: 231; curr fn: 149577; curr tn: 1516464; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_win8; pattern type: l0
len(selected_patterns):83; curr precision: 0.9632; curr recall: 0.0391; curr f1: 0.0751; curr tp: 6079; curr fp: 232; curr fn: 149555; curr tn: 1516463; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_lightroom; pattern type: l0
len(selected_patterns):84; curr precision: 0.9634; curr recall: 0.0392; curr f1: 0.0753; curr tp: 6101; curr fp: 232; curr fn: 149533; curr tn: 1516463; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_quickplay; pattern type: l0
len(selected_patterns):85; curr precision: 0.9635; curr recall: 0.0393; curr f1: 0.0756; curr tp: 6123; curr fp: 232; curr fn: 149511; curr tn: 1516463; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _ATOKEN_warrenty; pattern type: l0
len(selected_patterns):86; curr precision: 0.9624; curr recall: 0.0395; curr f1: 0.0758; curr tp: 6144; curr fp: 240; curr fn: 149490; curr tn: 1516455; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_calibration; pattern type: l0
